name,developer,upvotes,downvotes,wisher
SoundHound,SoundHound Inc.,11,0,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
Pebble Time,Pebble,11,1,aitzol76
Android Emulator,,11,3,User 29f81d07-6ad0-4287-825b-df05836849df
Darktable,Darktable Community,11,1,User 87259ef0-11d2-45eb-b943-aa14eeae7eb5
Jitsi and Jitsi.meet (mobile),https://meet.jit.si/,10,0,gleppert
Evernote,,10,1,jonemo
Slack,Slack Technologies Inc.,10,1,bhdouglass
Deezer app,,10,0,darktux
eBay,eBay Mobile,9,11,kristijan-zic
GitHub,GitHub Inc.,9,1,danslerush
Plex,"Plex, inc",9,0,User ed8d54de-8bc8-4668-9eb8-71181400e839
UPnP/DLNA Player like BuppleUPnP,,9,0,patrik-simon
Anki (Flash cards app),,9,0,dr-chakri
Zotero,Zotero,9,0,extraymond
Threema,Threema GmbH,9,2,User d08ec384-f826-41f1-878c-f1554f17da46
Samba share service,,9,0,francois-barillon
Comix Viewer,,9,0,danslerush
Tux Cart (Game),,9,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
chess (with player vs. computer option),,8,0,anupam207
"Comic book (.cbr, .cbz, .cbt, .cba, .cb7) viewer",,8,0,gregoryopera
Radio,,8,0,User 42acb94c-5e75-430f-9488-3e4829e1650e
Gnome Maps (Map app),,8,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
libpurple/multi-protocol client,,8,0,snail-gary+launchpad
WeChat,Tencent,8,1,User 18b4ea7c-2ace-405c-abf8-eab3af3c67ab
ToxIM (Secure VOIP),,8,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Android Wear,Google,8,7,lejeunejimmy
Flipboard,Flipboard Inc.,7,0,dean-che
"KeePass client, with full KeePass 2.x compatibility.",,7,0,gregoryopera
"client like Pidgin (supporting MSN, Google Talk, Yahoo, facebook etc.) with push notifications",,7,1,anupam207
Deezer,,7,0,andreas-demey
Microsoft One Drive (Cloud Storage),,7,3,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
MultiROM Manager,Vojtech Bocek,6,1,kristijan-zic
Firewall app for security is like ubuntu desktop application,,6,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Call Blocker,,6,0,ednacalm
Wordpress app (not only wordpress.com),,6,1,User 27736d1b-b03b-4040-9944-f46061c2b616
PayPal (mobile payments),,6,2,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
configurable app launcher scope,,6,0,User 08f2d77d-0d12-41d1-9cff-e4a8b9a70378
"A Nintendo Game Boy emulator that is compatible with Game Boy, Game Boy Color and Game Boy Advance ROMs.",,6,0,gregoryopera
Active Sync Exchange Server mail,,6,0,masc-p
app to create pdf doc from captured photos,,6,0,anupam207
integrated torch functionality in the notification bar,,6,0,johangm90
LinkedIn,LinkedIn Corporation,6,3,robert-thorneycroft
Wireshark ,,5,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Official support for Nexus 5 :P,,5,2,kristijan-zic
search the web by voice like ok google,,5,3,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
Clementine (Music Player),,5,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Banshee (Media Player),,5,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Iptv,,5,0,robcecwet
Line,Line Corporation,5,2,User 9dbbe84f-7788-4dfe-afca-a4fc9ca8ca63
Quizduell,FEO Media AB,5,1,schwindelfrei
Fitbit,Fitbit,5,0,sergiusens
ZimWiki,gnome,5,0,extraymond
Aldiko,Aldiko Limited,5,0,ruysabino
Whats App,WhatsApp Inc,5,12,killu143
Syncthing,,5,0,autonomouse
7zip,,5,0,User 239c3fc9-0cbd-44fc-98c6-0a31be71ad7d
Zattoo,,4,0,robcecwet
Gufw Firewall (for Mobile),,4,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Mega (Cloud Storage),,4,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Kingdom Rush,Ironhide Game Studio,4,3,dinamic6661
Panasonic Image App,,4,0,User e6ac7cb1-931d-45fe-b9ce-27c6aace6513
Yaste Kodi REmote,,4,0,thmslld
Backgammon,,4,0,User a75c161d-7ea6-4bb6-9314-40bfecd10a51
Comics,Comixology,4,2,dean-che
IMDb,"IMDb.com, Inc.",4,3,robert-thorneycroft
WordNet dictionary client (e.g. GoldenDict),,4,0,anupam207
Ubuntu Authenticator - app like Google Authenticator,,4,2,kristijan-zic
"UC Browser (and/or ""Mini"" version)",UCWeb Inc.,4,0,anupam207
KDE Connect,,4,0,User 239c3fc9-0cbd-44fc-98c6-0a31be71ad7d
waze,,4,1,sebastien-leon
Teamviewer ,TeamViewer GmbH,4,0,nikola-leder
Line Messenger,,4,1,User 27c9442b-20cc-4813-be06-4273b918a9b3
Plex (Media Streaming),,4,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Full Device Encryption,,4,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
gnuplot,gnuplot.info,4,0,User 08f2d77d-0d12-41d1-9cff-e4a8b9a70378
Copy,Barracuda Networks,4,0,rumianom
"Something like KDE Application Okular. I wish a Documentviewer where i can setting bookmarks, notes and marks.",KDE,4,0,User ae9e210f-7b74-4502-b579-d713f6cafcfe
Whatsapp,,4,10,kcpancham
Simon Tatham's puzzles,,3,0,anupam207
Tidal,TIDAL,3,0,alexstrand7-o
Garmin-Connect for Garmin Vivofit,,3,0,User 2a6ef1eb-e0d9-4fcb-b9a3-07cd2e198b9c
Meo Music,,3,1,ivoxavier
Twilight (sort of redshift) ,Urbandroid Team,3,0,fcole90
Fruit Ninja,Halfbrick Studios,3,1,anupam207
Inkscape,,3,0,User d09c32c0-9247-4663-9713-0c8129abd134
Face Swap,Axhunter,3,0,anupam207
music player with folders and file name list,,3,0,User 08f2d77d-0d12-41d1-9cff-e4a8b9a70378
Gedit,Gnome Project,3,0,bhappy
Meo Cloud,,3,1,ivoxavier
mail.de Mail,Mail.de GmbH,3,1,User b72a56f9-20af-4119-8758-6c5c29e22f31
Icinga,,3,0,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
UPnP audio Control Point,,3,0,patrik-simon
A ScreenCast App,,3,0,spacedriver88
FreeCAD,http://www.freecadweb.org/,3,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
CONNECTED WATCH,CONNECTEDEVICE Limited,3,0,User e5100bc5-be00-4a3f-b4dd-834f00eff8c8
Ring,Svoir-faire Linux,3,0,User 7fe94ccf-8f0f-4ef2-84f1-5382abbdd853
Remotedesktop Client (remmina),,3,0,martinweigl48
Phone Backup App,,3,0,flori-bin
Winrar ( for touch/converge ),,3,0,mausje75
GPS tracking to export track or waypoints (i.e. for OSM),,3,0,vmalep
Seafile client,Seafile Ltd.,3,0,User ebc868eb-81bb-40c5-bfa9-6f3bb7686773
Quiz Duell,,3,2,chrischi-franz
torrent,,3,0,vin-trimarco
Disa,Disa.im,3,0,User ebc868eb-81bb-40c5-bfa9-6f3bb7686773
Whats App Messenger,,3,3,User 9288895e-455b-4815-978c-d2552bb31b52
2GIS,"DoubleGIS, LLC2",3,0,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
Hydrogen Drum Machine,Hydrogen Community,3,0,fernandosantucci
vpn for mobile like betternet on android,,3,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
audio and video converter like winff in ubuntu desktop,,3,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Record Screen,,3,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Wifi share is like shareit app on android,,3,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Wine emulator,Wine,3,0,h+
Krita,Krita Foundation,3,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
Google Photos,Google,3,2,arkreuz
Air BnB (Vacation Rentals),,3,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Last.Fm (Ubuntu music app integration),,3,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Pocket (with browser integration),Read It Later,3,0,anupam207
"An intelligent contacts app that links to relevant dialer apps,  taking into account time, location, and the other person's contact preferences.",,3,1,j-m-holmes
K-9 Mail,Jesse Vincent,3,0,schmidtol
"scope for sensor and system information: sensor readout, table of processes, log file changes, network trafic monitor, etc.",,3,0,User 08f2d77d-0d12-41d1-9cff-e4a8b9a70378
Ubuntu SDK (convergence),,3,0,martin-beigert
Call blocker for blacklisted numbers,,3,0,joe
Foxit PDF reader,,3,0,User 783587be-c52e-4d9f-9c0a-8c2ac34988b5
Insync,Insync,3,0,arkreuz
GNU Emacs,,3,0,User 35fa6303-1884-4518-b5d8-d2cbbe42ee47
Geogebra,,3,0,aquesadamoreno
Remember The Milk,Remember The Milk,3,1,User 901c8db0-9bc6-4ea4-8a59-de22c8bfa731
Thunderbird,Mozilla,3,0,User 96e8246e-6c01-40e7-890f-484cf45c4a86
"instant open for apps or at least for the most needed for example camera, dialer, messages, contacts",,3,1,johangm90
App to communicate all your devices,,3,1,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
Avast (Mobile Security w/ AntiVirus),,3,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Chromium (Browser),,3,3,jonemo
Moovit,,2,0,talzion12
BleachBit,Canonical ubuntu store,2,0,h+
Official LastPass,,2,0,thmslld
SIMSme,,2,0,User b72a56f9-20af-4119-8758-6c5c29e22f31
App to read ODB2 conector (Kiwi 3),,2,0,User 7b13924d-5b8b-49a5-90e3-5a6852a668f1
Temple Run 2,Imangi Studios,2,1,User 7064f6a1-ced4-420d-aa1e-39045e55f65c
UniWar HD,,2,0,drkgabor
Komoot,,2,0,daniel-hackbarth96
Mp4 to Mp3 converter app,,2,0,h+
RunKepper,FitnessKeeper,2,0,ricardofiga
Polar,,2,0,User d09c32c0-9247-4663-9713-0c8129abd134
QuizDuell,Feo Media AB,2,1,chrischi-franz
WPSOffice,,2,0,User 783587be-c52e-4d9f-9c0a-8c2ac34988b5
AndSmb,Lysesoft,2,0,francois-barillon
Everpad (Evernote convergence),,2,0,jonemo
HelloChinese,HelloChinese,2,0,gluckhans
Simplenote (Note Taking app for Ubuntu Mobile),https://simplenote.com/,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Swiping Keyboard,,2,0,User eb57ba05-527f-418b-8c88-95923b46f7dd
"Multi-account messenger app, eg. pidgin",,2,0,pieceredd
icedTea a free java web start ,,2,0,User 924b4ddc-8b97-4ffb-bfb3-481e0253f9d8
loqui im,,2,0,User 80071c3b-4b0e-4851-b61e-0575a039ac8f
Cytrix Receiver,"Citrix Systems, Inc",2,0,mariusz-kowalski
Contacts in Ubuntu touch,Canonical,2,0,User f88bf227-3412-4e8b-8906-a10a36aea0bd
Latex editor,,2,0,avisoftware123
Jetpack Joyride,Halfbrick Studios,2,1,anupam207
Kik Messanger,Kik Interactive,2,1,User da609fa4-f7f9-469d-a575-1be92e295dad
Ardour DAW - Digital Audio Workstation,Ardour,2,0,fernandosantucci
Xtreeam download manager is like XDM on linux (split in to many peices and download simultanious and assembled after finished all peices).,,2,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
"Ich würde mir das Line, für das Ubuntusmartphone Wünschen, es ist Tausendmal besser, als das bescheuerte Whatsapp ",,2,4,mimo-mm
Xodo pdf reader and annotator,Xodo,2,0,h+
Horizon Go,,2,0,feher-jozsef9
Hulu (Video Streaming Service),,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Angry Birds Space (Mobile Game),,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Weather Underground (Weather app),,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Angry Birds (Mobile Game),,2,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Tomboy (Note Taking App),,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Games whit quality,,2,2,fmulcar
Comodo (Mobile Security w/ AntiVirus),,2,4,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
ClamTK for Mobile (Mobile Security w/ AntiVirus),,2,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Google Play Music (Music Streaming),,2,3,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
MetaTrader 5,MetaQuotes Software Corp.,2,0,vokaliz
"Simple app for airline distance between cities (like ""City Distance"")",SpecSoft,2,1,gleppert
Eclipse (convergence),,2,0,martin-beigert
"Wire (ALL time Encrypted video, chat, & messaging - better than Telegram)",,2,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
The Gimp,www.gimp.org,2,0,rbbronkhorst
ING Direct,ING,2,0,User 33e6960b-91bc-4108-a6bb-16ef7ad74768
iVoox,,2,0,User 33e6960b-91bc-4108-a6bb-16ef7ad74768
Simyo,,2,0,User 33e6960b-91bc-4108-a6bb-16ef7ad74768
Geometry Dash,Robtop Games,2,1,ferenos
Gcompris (educational packages),,2,0,User ba5bc679-c504-4f7f-a512-bdd20dfad1b9
DNS changer,,2,0,User 239c3fc9-0cbd-44fc-98c6-0a31be71ad7d
Chromium Browser,Chromium Community,2,3,fernandosantucci
Twitch,Amazon,2,1,User 98feb608-8a51-429e-b4ab-e340ce2418ef
Tor browser,,2,0,fensterscheibe2
Yubico Authenticator,Yubico,2,0,volkmar-wieland
Tasker,Crafty Apps EU,1,0,bhdouglass
Fotmob,NorApps AS,1,0,f4tmike
Untappd,Untappd,1,0,dean-che
LoveLive! School idol festival,Klab,1,0,miguel-l5862u
Sat>IP,,1,0,robcecwet
Lose it,"Fitness Now, Inc",1,0,dean-che
Udemy,Udemy,1,0,kristijan-zic
TV Show Favs,,1,0,f4tmike
ProjectHamser,Gnome,1,0,extraymond
Storytel,Storytel,1,0,larsake-westman
" Dash till Puff 2",Rifter Games,1,0,tim-sueberkrueb
Minhas Economias,http://www.auspex.com.br/,1,0,ruysabino
hoy-milonga nordrhein-westfalen,,1,0,User 3aaf0403-a491-44e3-a8d6-1efb1b6fdbfd
LunaSolCal Mobile,,1,0,User 03a11d1e-5b25-4264-8141-6e0fd68c981d
Number26,Number26,1,0,User 1de9c8bf-a0ac-4fe8-85ed-a0d3884c7328
serval mesh,serval project,1,0,francois-barillon
Pokemon Shuffle,The Pokemon Company,1,1,mberesheim
Reproducir vídeo mp4,,1,0,franmaurizpereira
Google ans Microsoft apps,,1,2,User 7b13924d-5b8b-49a5-90e3-5a6852a668f1
Cheap Tickets (Travel app),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
An application capable of connecting to the hundreds of scanner radios available online via sites such as RadioReference.,,1,0,gregoryopera
Koofr,Koofr,1,0,jelmorini
Payback,https://www.payback.de/app,1,0,m-bauert
Termin-Suchfunktion für Kalender Coreapp,,1,0,oliver-schuft
ROCKI,,1,0,User 77f88fe9-d060-4813-9dbe-1816b8aac789
Jodel,,1,0,jasper-nalbach
Metatrader$,MetaQuotes Software Corp.,1,0,toomy1992
Grindr,,1,0,apiekarczyk
LanguageCourse.net,Language Course S.L.,1,0,User 4465859e-3262-4afb-873b-4536ddb53611
easy.GO,TAF mobile GmbH,1,0,ak-post
http://www.tango-ruhrgebiet.de/liste.html,,1,2,User 3aaf0403-a491-44e3-a8d6-1efb1b6fdbfd
Cisco Jabber,,1,1,nem0-p
Quizlet,,1,0,jelmorini
Astrology Software,,1,1,User 2b6aa2be-72b3-46da-a6b5-4d301bfe257a
Teleboy,,1,0,robcecwet
"EyeEm, a community & marketplace for photography.",,1,0,User 42acb94c-5e75-430f-9488-3e4829e1650e
DroidQuest,Thomas Foote,1,0,zerothis23
Inner Worlds,Sleepless Software,1,0,zerothis23
Scoope my document with beatifull interface like cinema and section favorites and recently opened,,1,0,h+
Multimedia center,,1,0,h+
Media center like media center plasma but for Ubuntu touch,,1,0,h+
Vodafone,Vodafone,1,2,User d07c7c5e-c98c-4fab-9994-f77e51880457
Chiffry Messenger,,1,0,User b72a56f9-20af-4119-8758-6c5c29e22f31
Indic keyboard layouts,,1,0,anupam207
Rstudio (convergence),,1,0,User d09c32c0-9247-4663-9713-0c8129abd134
Qtractor Music App,,1,0,User 2a6ef1eb-e0d9-4fcb-b9a3-07cd2e198b9c
Kontalk Messenger,www.kontalk.net,1,0,User b72a56f9-20af-4119-8758-6c5c29e22f31
plantnet identificar plantas,,1,0,sempreaqui2
"Streaming Suite - Plex, Hulu, Netflix, Vudu, Amazon. Would make tablet useful for something",,1,0,micolito
Qgis,http://www.qgis.org/,1,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
gvSIG,http://www.gvsig.com/,1,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
"Cozy.io personal cloud client (server?) integration (contacts, files, calender, etc)",,1,0,eh-henrik
RedNotebook,Jendrik Seipp,1,0,User 3e846631-5577-4598-8229-c0ab6defdc7a
EbookDroid ,,1,0,marny.desmet
NixNote/Evernote (Note Taking App),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Data-field to write the company of my kontacts in the adressbook-app ,,1,0,oliver-schuft
Keypad-Mapper 3,ENAiKOON GmbH,1,0,marc.h
"App or scope to follow a list of stocks, commodities and forex",,1,0,slash-tux
Brave (Mobile Browser),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Ninja Up! (Mobile Game),,1,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Dwg viewer,,1,0,iraffae-4
Vainglory game,,1,1,fmulcar
"Song recognition Open Source, possibly based on http://echoprint.me ?",,1,0,User f88bf227-3412-4e8b-8906-a10a36aea0bd
"Une webapp pour les clones de spotify, style muzic.co.",,1,1,sebastien-leon
SingaporeMap,Street Directory ,1,0,gluckhans
Grab,Grab,1,0,gluckhans
KORE,XBMC Foundation,1,0,gluckhans
Pleco,Pleco Software,1,0,gluckhans
Out of Milk Shopping List," Capigami, Inc",1,1,gluckhans
Maps.Me,My Co. B.V,1,0,gluckhans
Wire (OpenSource Encrypted VOIP like Skype for Ubuntu Mobile),https://wire.com/,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Sync utility (calendars and contacts)between Thunderbird instances on different OS,,1,0,User b4898dec-a9c4-425a-be06-301a1e2da179
SeyCode,,1,0,nitohu
opera,,1,0,ipatov68
Fleksy,Fleksy,1,0,User ad5b6226-2f1d-44cc-a12c-4d961c598ddc
Port of GBC.emu/GBA.emu/MD.emu/NES.emu/Snes9x EX+ (Open Source emulators on Android),,1,1,gregoryopera
Comixology,Comixology,1,0,sjp-d
hornet,https://loves.hornetapp.com/,1,0,User b9d8a5d6-cd7c-4272-822e-e06772b299dc
NoMachine remote desktop,https://www.nomachine.com,1,0,nikola-leder
EZCast,https://www.iezvu.com,1,0,nikola-leder
BBM,Blackberry,1,0,mausje75
VIM,VIM,1,0,User 29f81d07-6ad0-4287-825b-df05836849df
E-Factura,,1,0,User 7b13924d-5b8b-49a5-90e3-5a6852a668f1
Gnucash,,1,0,geza-selmeczi
Evangélikus Énekeskönyv,Luther Kiadó,1,0,geza-selmeczi
Tellico,,1,0,geza-selmeczi
Altimetre,,1,0,veyrier-raymond
Openscad,,1,0,User b30cebb9-2c53-4c4c-b09d-51048778a348
Enpass,Sinew Software Systems ,1,0,arkreuz
Inbox,Google,1,0,arkreuz
Atom-Editor,,1,0,allen875
Octave,GNU,1,0,5-john-9
Discord,Hammer & Chisel,1,0,User b996df2d-c259-4619-83a1-1b82a912c163
Contact export to CSV file / SIM.,,1,0,User f88bf227-3412-4e8b-8906-a10a36aea0bd
"Customization tool like compiz config, tweak tool ...",,1,0,h+
Swish,Bankgirot,1,0,larsake-westman
BankID säkerhetsapp,Finansiell ID-Teknik BID AB,1,0,larsake-westman
A good epub reader annotator underliner....,,1,0,h+
onin share is for sharing file on tor network like on ubuntu desktop ,,1,0,User 6630789a-0001-4fd1-8d44-0fb25a1cedef
Laverna,https://laverna.cc/,1,0,pinplex
Home scope,,1,0,h+
Jw library,Jw.org,1,0,h+
BTmono,bedoig.android@gmail.com,1,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
App for drawing CAD,,1,0,User b8ca83a1-5d36-47e9-8b86-2fe26d23eb67
deezer app,,1,0,davrad3
Printingapp,,1,0,tom-rausner
tivizen dvb-t application,,1,0,ivo.valek
Amazon Music,Amazon,1,0,handy02
MPD,Max Kellermann,1,0,poivron
Hyperfocal-calc,Joelp,1,0,v-marc-x
Parkster,Parkster,1,0,larsake-westman
Pandora (Music Streaming),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Uc Browser,,1,0,utnubu11
Vudu (Digital Video rentals and sales),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Amazon Instant Video (Video rentals and sales),,1,1,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Stremio (Media and Live streaming),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Remmina,,1,0,User 96e8246e-6c01-40e7-890f-484cf45c4a86
f.lux,f.lux,1,0,User 3e846631-5577-4598-8229-c0ab6defdc7a
Amazon Music Store (Music Store Integration),,1,2,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Spideroak (Cloud Storage),,1,0,User eeab0064-71fe-43e3-bbe9-7d7c8660f2db
Manga Rock,Not A Basement International,1,0,oruhimegu
Dolphin Browser,dolphin.com,1,0,marny.desmet
